label;PCL Intersection;Mesh Intersection;image;location
Power;[1.45618, -1.03174, 3.84977, 0.0, -32.9585, -139.78];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3618 1276] [3667 1293]]
120VDC;[1.46546, -1.04675, 3.85032, 0.0, -32.8551, -138.844];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3670 1274] [3735 1292]]
303;[1.47107, -0.976332, 3.86388, 0.0, -33.4545, -140.941];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3550 1250] [3581 1262]]
AB1P4;[1.41007, -1.09492, 4.02069, 0.0, -27.4943, -139.061];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3663 1630] [3789 1725]]
EXPRESS;[1.19897, -1.1044, 4.00335, 0.0, -25.6648, -142.971];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3399 1781] [3554 1891]]
Port;[1.5263, -0.874396, 4.45705, 0.0, -17.1687, -142.533];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3536 2436] [3567 2460]]
CO2SamplePort;[1.48902, -0.883966, 4.44765, 0.0, -17.0278, -143.053];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3454 2430] [3574 2495]]
CORSCRU;[1.41417, -0.87299, 4.7806, 0.0, -5.05712, -145.038];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3386 3349] [3459 3394]]
CFC;[1.46332, -0.823035, 4.82589, 0.0, -2.13662, -145.352];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3396 3595] [3421 3614]]
Spectrum;[1.84036, -1.10294, 4.25447, 0.0, -24.7931, -127.435];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[4510 1717] [4643 1802]]
ANITA-2;[1.75538, -1.11511, 4.56884, 0.0, -13.1601, -129.9];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[4503 2665] [4580 2703]]
SINT;[1.95135, -1.03595, 4.73833, 0.0, -7.95268, -125.545];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[4964 3067] [5037 3106]]
SERFE;[1.77587, -1.1151, 4.83988, 0.0, -2.9817, -128.915];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[4736 3513] [4815 3546]]
10;[-0.82445, -0.297302, 5.37751, 0.0, 8.26845, -175.734];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[5218  901] [5335  985]]
EPCUPOWER;[2.26386, 0.586495, 5.23941, 0.0, 25.5461, 129.001];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1050 2168] [1266 2325]]
4GP-2000002-Cam;[2.01518, 0.633689, 5.45045, 0.0, 30.3169, 137.911];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1685 2352] [1945 2648]]
303;[2.01164, 0.587126, 5.40993, 0.0, 29.3748, 139.896];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1920 2396] [1953 2438]]
PINSEGU3113;[2.01791, 0.619641, 5.46374, 0.0, 31.2914, 138.288];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1769 2482] [1927 2658]]
VDCPUT;[2.13712, 0.368308, 5.52133, 0.0, 41.1116, 146.577];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2321 3214] [2479 3289]]
LAB104;[2.18558, 0.443937, 5.54924, 0.0, 46.0358, 138.756];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1818 3488] [2182 3904]]
USDCPON;[2.30182, 0.502121, 4.91208, 0.0, 4.05454, 125.726];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[527 469] [584 645]]
ORGESTMENTSCHEN;[2.29638, 0.592405, 5.19081, 0.0, 22.7617, 124.203];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[ 719 2006] [ 789 2199]]
S/N;[2.21024, 0.741019, 5.29243, 0.0, 23.1804, 123.958];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[ 722 2109] [ 764 2168]]
690;[2.21024, 0.741019, 5.29243, 0.0, 23.9656, 123.986];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[ 739 2169] [ 775 2225]]
POWER;[2.25102, 0.587188, 5.23691, 0.0, 25.274, 129.607];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1133 2169] [1263 2268]]
EPCU;[2.27301, 0.589, 5.23999, 0.0, 25.785, 128.235];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1051 2230] [1159 2315]]
POWER;[2.20406, 0.630402, 5.27124, 0.0, 26.2864, 130.207];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1198 2238] [1311 2334]]
DICATION;[2.19886, 0.621864, 5.27115, 0.0, 26.3999, 130.243];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1211 2258] [1310 2331]]
ON;[2.27928, 0.581103, 5.23859, 0.0, 26.3092, 128.187];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1096 2298] [1127 2330]]
FCF;[2.04526, 0.717279, 5.3101, 0.0, 23.7398, 133.472];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1427 2037] [1486 2088]]
a;[2.21024, 0.741019, 5.29243, 0.0, 24.275, 124.226];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[ 775 2206] [ 792 2227]]
TEST;[2.27651, 0.554176, 5.51434, 0.0, 40.8117, 129.719];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1387 3365] [1451 3430]]
SELECT;[2.27651, 0.554176, 5.51434, 0.0, 40.8859, 129.833];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1375 3350] [1479 3455]]
FAULTI;[2.27651, 0.554176, 5.51434, 0.0, 41.5868, 128.219];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1287 3435] [1391 3538]]
P1;[2.27651, 0.554176, 5.51434, 0.0, 42.4352, 123.926];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1067 3628] [1108 3656]]
To;[2.27651, 0.554176, 5.51434, 0.0, 42.7007, 123.655];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1060 3658] [1086 3682]]
120;[2.27651, 0.554176, 5.51434, 0.0, 42.8586, 124.052];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1086 3663] [1122 3686]]
VDC;[2.27651, 0.554176, 5.51434, 0.0, 43.0634, 124.631];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1121 3667] [1167 3691]]
Powefor;[2.27651, 0.554176, 5.51434, 0.0, 43.4501, 125.554];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1163 3670] [1251 3706]]
or1553;[2.27651, 0.554176, 5.51434, 0.0, 43.6958, 126.336];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1225 3684] [1292 3707]]
Data;[2.27651, 0.554176, 5.51434, 0.0, 43.9376, 127.13];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1292 3686] [1333 3712]]
Source;[2.26362, 0.539855, 5.5273, 0.0, 44.2355, 127.986];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1332 3692] [1398 3721]]
128VDCIDATA!;[2.26362, 0.539855, 5.5273, 0.0, 45.1857, 127.722];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1297 3716] [1434 3860]]
ETHERNET;[1.75031, 0.7217, 5.31332, 0.0, 19.9766, 142.649];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2024 1697] [2096 1751]]
POWER;[2.00854, 0.573769, 5.22376, 0.0, 20.8492, 140.761];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1905 1770] [1965 1817]]
13;[2.00868, 0.574436, 5.22912, 0.0, 21.0735, 140.798];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1930 1803] [1946 1820]]
INTERFACE;[1.95557, 0.565514, 5.26692, 0.0, 22.28, 143.001];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2039 1847] [2147 1930]]
Switch;[1.8537, 0.824167, 5.37466, 0.0, 22.6569, 136.319];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1607 1929] [1676 1982]]
Power;[1.87431, 0.832723, 5.38143, 0.0, 23.0077, 135.523];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1557 1961] [1624 2010]]
Rack;[2.04115, 0.687616, 5.29799, 0.0, 23.2047, 134.864];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1516 1987] [1575 2034]]
EPCUR;[2.03834, 0.707223, 5.30468, 0.0, 23.4979, 134.135];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1464 2008] [1535 2067]]
Supply;[2.03592, 0.58392, 5.38827, 0.0, 29.0881, 139.243];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1844 2354] [1937 2447]]
SEG33116412.000;[1.99502, 0.621567, 5.4516, 0.0, 30.2851, 139.103];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1805 2386] [1974 2592]]
Power;[2.05819, 0.586889, 5.3946, 0.0, 29.8179, 138.348];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1795 2418] [1883 2506]]
120VDC;[2.035, 0.630259, 5.44377, 0.0, 30.636, 137.37];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1736 2475] [1833 2583]]
1445;[2.02127, 0.609998, 5.46471, 0.0, 31.3737, 138.53];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1829 2537] [1897 2613]]
A3IP;[2.07061, 0.614118, 5.44181, 0.0, 31.4469, 136.447];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1692 2554] [1772 2640]]
P/N;[2.03826, 0.617326, 5.46355, 0.0, 31.5945, 137.618];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1774 2567] [1836 2632]]
S/N;[2.03639, 0.612964, 5.46981, 0.0, 31.9539, 137.886];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1797 2590] [1857 2654]]
on;[1.98855, 0.568894, 5.48378, 0.0, 32.2961, 141.687];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2054 2602] [2082 2632]]
BOT;[1.98729, 0.530339, 5.49035, 0.0, 33.148, 143.366];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2150 2644] [2202 2693]]
TOWE;[1.9797, 0.537627, 5.50534, 0.0, 33.4641, 143.207];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2121 2654] [2214 2733]]
628;[2.0018, 0.505572, 5.47759, 0.0, 33.4141, 144.001];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2197 2677] [2232 2698]]
Zip;[2.14241, 0.423927, 5.42454, 0.0, 35.8254, 142.858];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2125 2823] [2189 2914]]
EPORT;[2.21573, 0.510826, 5.43661, 0.0, 36.4057, 134.718];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1617 2932] [1728 3039]]
O;[2.11854, 0.399154, 5.54024, 0.0, 40.6647, 145.188];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2307 3211] [2331 3235]]
VDC;[2.13007, 0.378831, 5.52621, 0.0, 40.8294, 146.169];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2340 3209] [2413 3251]]
12A;[2.14062, 0.40078, 5.52863, 0.0, 40.8992, 144.104];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2225 3225] [2293 3265]]
AX;[2.13284, 0.383603, 5.53361, 0.0, 41.1609, 145.646];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2321 3241] [2371 3274]]
INPUT;[2.11282, 0.374765, 5.54725, 0.0, 41.3955, 147.059];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2374 3245] [2479 3291]]
J5;[2.11096, 0.367281, 5.57573, 0.0, 42.394, 147.501];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2436 3330] [2474 3361]]
AUTION;[2.26362, 0.539855, 5.5273, 0.0, 41.9808, 130.036];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1401 3432] [1512 3542]]
~CS;[2.26362, 0.539855, 5.5273, 0.0, 44.3102, 129.186];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[1390 3638] [1491 3739]]
811JEM;[1.27977, 0.500755, 4.87903, 0.0, 1.41409, 159.399];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[3232  229] [3276  363]]
SMOKE;[1.55489, 0.626213, 5.24817, 0.0, 16.0948, 150.665];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2561 1394] [2628 1451]]
10011011111111000000;[1.67103, 0.565211, 5.46876, 0.0, 26.2412, 150.786];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2545 2089] [2686 2208]]
12010101;[1.67103, 0.565211, 5.46876, 0.0, 26.2944, 150.596];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2566 2107] [2637 2201]]
RovacA;[1.9229, 0.406899, 5.31595, 0.0, 26.1886, 151.038];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2583 2106] [2681 2187]]
12010C/553;[2.08924, 0.386453, 5.46158, 0.0, 36.8567, 147.054];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2330 2837] [2488 3018]]
OFF;[2.07955, 0.35618, 5.48867, 0.0, 38.2252, 149.128];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2515 2998] [2557 3042]]
PD-12000-1004;[2.09507, 0.353402, 5.50149, 0.0, 39.3303, 148.873];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[2449 3010] [2593 3198]]
SSPEDOCHEN;[0.793908, 0.479335, 4.84632, 0.0, -0.545247, 164.442];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[3647   33] [3687  221]]
1;[0.497486, 0.594948, 4.85687, 0.0, -0.271785, 164.023];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[3609   69] [3647  232]]
LAB-SS-PANTRY;[1.35367, 0.371644, 5.31382, 0.0, 17.4727, 163.048];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[3402 1451] [3494 1625]]
MERGENCYUSE;[1.79041, 0.103041, 5.46536, 0.0, 31.862, 170.428];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[3814 2590] [3871 2687]]
FIREPORT;[1.76307, 0.0958137, 5.48933, 0.0, 31.9874, 171.063];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[3845 2594] [3916 2710]]
LABIDA;[1.75668, 0.0858363, 5.49089, 0.0, 31.9692, 171.552];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[3896 2631] [3935 2686]]
TTENTION;[-0.770181, 0.52726, 4.91957, 0.0, 1.19197, 170.24];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[4115  241] [4147  314]]
FIRE;[0.471948, -0.07329, 5.21789, 0.0, 9.48148, -179.708];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[4856 1009] [4905 1032]]
PORT;[-0.807038, -0.117773, 5.44179, 0.0, 9.43081, -179.097];;data/images/isaac_sci_cam_image_delayed/1657545158.820.jpg;[[4907 1010] [4967 1031]]
DECK;[-0.87762, 0.131301, 5.71808, 0.0, 13.4978, 178.347];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[ 554 1315] [ 845 1411]]
NOD1;[-0.878866, 0.225612, 5.81217, 0.0, 15.0805, 176.852];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[ 459 1443] [ 730 1561]]
10;[2.68971, -0.0392338, 4.78012, 0.0, 15.1059, 174.611];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[ 334 1482] [ 460 1571]]
USBC;[2.07187, -1.07077, 5.36937, 0.0, 22.5913, -122.316];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4904 2170] [5102 2310]]
J10;[2.06638, -1.05675, 5.41893, 0.0, 24.5269, -122.693];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4876 2349] [4983 2422]]
SSPCH;[2.11598, -0.999248, 5.42409, 0.0, 26.0154, -122.303];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4817 2426] [5046 2593]]
TIB;[2.68971, -0.0392338, 4.78012, 0.0, 1.48193, 178.638];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[393 132] [684 526]]
E;[1.17472, 0.0914273, 5.67014, 0.0, 27.5614, 177.218];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[ 730 2325] [ 902 2631]]
CAUTION;[0.982764, -0.557371, 4.83265, 0.0, 0.219355, -161.704];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[2157  236] [2229  255]]
UOP;[0.135879, -0.974803, 5.44976, 0.0, 12.3941, -158.817];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[2407 1180] [2448 1225]]
ACTEXACCOBAR;[1.42061, -0.167291, 5.95562, 0.0, 39.6266, -171.54];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[1684 3216] [1726 3301]]
-;[1.00269, -0.721144, 4.96616, 0.0, 4.1958, -156.888];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[2525  555] [2609  605]]
#7;[0.177409, -0.973122, 5.46664, 0.0, 12.8826, -158.821];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[2417 1223] [2438 1253]]
NDENSATE;[1.08119, -0.689199, 5.74444, 0.0, 26.5442, -156.769];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[2533 2196] [2600 2248]]
MARCHELLOWER;[1.52741, -0.830399, 5.98685, 0.0, 37.4926, -144.957];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[3204 3003] [3302 3111]]
20A;[1.96143, -0.804405, 4.78141, 0.0, -2.19334, -133.771];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4440   63] [4487   91]]
PWIT;[1.96635, -0.761684, 4.79749, 0.0, -1.35266, -135.067];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4307  140] [4361  168]]
Todinated;[2.03137, -0.737462, 4.99436, 0.0, 8.85342, -133.782];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4223  913] [4376 1132]]
Water;[2.03558, -0.747507, 4.99848, 0.0, 9.05282, -133.158];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4287  971] [4406 1116]]
od;[2.04636, -0.74771, 4.98611, 0.0, 8.89728, -132.502];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4386 1017] [4415 1054]]
CWC-lodine;[1.84575, -0.665432, 5.1559, 0.0, 15.888, -142.537];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[3504 1421] [3617 1587]]
ATTENTION;[1.92332, -0.813255, 5.55105, 0.0, 31.0383, -134.957];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[3871 2630] [3996 2723]]
Pwr2;[2.00494, -0.782494, 4.80212, 0.0, -1.29063, -133.117];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4478  147] [4536  175]]
On;[2.00117, -0.769033, 4.81678, 0.0, -0.402324, -133.674];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4426  229] [4459  255]]
Noi;[2.25783, -0.649458, 4.86274, 0.0, 2.48437, -126.735];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[5000  486] [5048  559]]
mer;[2.26195, -0.601967, 4.96273, 0.0, 9.5476, -128.395];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4657 1028] [4816 1207]]
RS232;[2.07169, -1.05509, 5.43027, 0.0, 24.9238, -122.639];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4872 2380] [4981 2457]]
SW;[2.21641, -0.668387, 5.26798, 0.0, 26.3067, -128.273];;data/images/isaac_sci_cam_image_delayed/1657544500.607.jpg;[[4440 2399] [4492 2448]]
10-3192;[4.25324, 0.098563, 3.5573, 0.0, -40.7448, 3.18813];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[1790 2184] [2012 2524]]
10-52.85;[4.25246, 0.501179, 3.54771, 0.0, -39.6742, 16.9515];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[2544 2412] [2740 2654]]
10-5265;[4.50081, 0.0239016, 3.75586, 0.0, -32.7355, 0.505019];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[1530 2793] [1662 3011]]
10-5297;[4.75038, 0.34046, 3.54548, 0.0, -33.3523, 8.99017];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[2059 2840] [2199 3059]]
City;[3.2892, 0.194265, 3.86115, 0.0, -57.8737, 15.7559];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[2588 1166] [2768 1285]]
RESEARCHCAT;[4.02494, 0.418093, 3.5819, 0.0, -43.1724, 16.3574];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[2594 2226] [2657 2338]]
Bookstandark?;[4.03788, 0.47132, 3.579, 0.0, -42.683, 18.1635];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[2671 2258] [2771 2384]]
RLYACCES;[4.04531, 0.425171, 3.58776, 0.0, -42.6127, 16.4082];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[2606 2288] [2650 2359]]
PORT;[4.16464, 0.819296, 3.53216, 0.0, -39.3072, 27.9169];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[3224 2527] [3282 2592]]
Canon;[3.24401, 0.811932, 3.74386, 0.0, -50.213, 52.4374];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[4259 1405] [4433 1553]]
XPRESS;[3.37011, 0.585716, 3.74877, 0.0, -52.108, 38.0439];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[3551 1464] [3712 1667]]
RESTROPERFILHER;[4.05809, 0.936971, 3.64871, 0.0, -37.5085, 33.0971];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[3446 2518] [3689 2806]]
GRAVITY!;[4.24608, 0.931187, 3.65342, 0.0, -34.8487, 29.7904];;data/images/isaac_sci_cam_image_delayed/1657544826.517.jpg;[[3337 2810] [3452 2942]]
LAB1P3_A;[2.67563, 0.0174163, 4.83544, 0.0, -30.5124, -102.91];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[   4 2717] [ 229 2787]]
DF1004;[2.53511, -0.592542, 4.33501, 0.0, -42.1437, -108.55];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 289 1675] [ 340 1755]]
31;[2.67563, 0.0174163, 4.83544, 0.0, -40.9368, -108.963];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 204 1744] [ 253 1824]]
ETHERNET;[2.53316, -0.658877, 4.31393, 0.0, -39.9526, -106.165];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 289 1915] [ 414 1979]]
A1;[2.67563, 0.0174163, 4.83544, 0.0, -30.8748, -101.656];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 196 2745] [ 255 2775]]
3116428;[2.61426, -0.881854, 4.37455, 0.0, -30.6305, -96.4172];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 533 2881] [ 663 2955]]
301;[2.61426, -0.881854, 4.37455, 0.0, -30.5047, -95.1156];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 656 2937] [ 717 2980]]
WARNING;[2.67563, 0.0174163, 4.83544, 0.0, -22.3909, -90.2976];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 663 3696] [ 862 3773]]
LOCKER;[2.67563, 0.0174163, 4.83544, 0.0, -21.9418, -92.3098];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 517 3711] [ 648 3768]]
CARGO;[2.67563, 0.0174163, 4.83544, 0.0, -21.9203, -90.8848];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 639 3737] [ 756 3795]]
NOT;[2.67563, 0.0174163, 4.83544, 0.0, -21.5409, -92.125];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 549 3758] [ 619 3798]]
WEIGHT;[2.67563, 0.0174163, 4.83544, 0.0, -21.9019, -89.5927];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 748 3764] [ 861 3815]]
EXCEED;[2.67563, 0.0174163, 4.83544, 0.0, -21.5519, -90.9673];;data/images/isaac_sci_cam_image_delayed/1657544621.492.jpg;[[ 616 3770] [ 742 3828]]
